"issue","date","outlet","language","origin","reported by","keywords","source","title","summary","disproof","metatags","metatags_content"
"82","09/27/17","Georga and the world","Georgian","Ukraine, Lithuania","EEAS Tbilisi","Lisa case, LPR, NATO","http://geworld.ge/ge/%e1%83%a3%e1%83%99%e1%83%a0%e1%83%90%e1%83%98%e1%83%9c%e1%83%98%e1%83%a1-%e1%83%a1%e1%83%90%e1%83%9b%e1%83%ae%e1%83%94%e1%83%93%e1%83%a0%e1%83%9d-%e1%83%ab%e1%83%90%e1%83%9a%e1%83%94%e1%83%91%e1%83%98/","NATO military instructors who raped local girls were wounded by Ukrainian military forces","Military from Kiev beat NATO Lithuanian instructors on the occupied territory of Luhansk People's Republic, as these instructors had raped two minor girls from the village of Teploe. The official representative of the Luhansk People's Militia, Lieutenant Colonel Marochko said that the case was investigated by the military prosecutor's office. Soldiers of one of the subunits of the 14th Brigade of the Ukrainian Armed forces are the suspects.","As we reported last week the story about two girls raped by Lithuanian NATO instructors was fake. https://euvsdisinfo.eu/the-pro-kremlin-pulp-mill/. As explained in the debunk last week, all of the Lithuanian soldiers are deployed in the Central and Western parts of Ukraine and none is deployed in the south-east part of Ukraine. https://euvsdisinfo.eu/report/lithuanian-nato-instructor-raped-two-girls-in-donbas/.","",""
"82","09/27/17","Vremya pokazhet @Pervyi kanal, 1:05:50","Russian","Russia, Ukraine","Pavel Spirin, former journalist","Ukrainian statehood","https://www.youtube.com/watch?v=_iSWo6oiJJ8","Part of Ukraine is a Russian territory with a population that has nothing in common with Ukraine","A part of Ukraine is a Russian land that has never belonged to Ukraine and the people who live there do not have any connection to Ukraine.","Ukraine is recognised in international law as a sovereign nation state, with its own flag, nationality, language etc. Ukrainian citizens are citizens of Ukraine, not Russia. Russia has no right to claim them or to legislate for them. 
The territorial sovereignty of Ukraine that includes the Ukrainian jurisdiction over Crimea also, has been recognized by the international community and enshrined in relevant UN resolutions.","",""
"82","09/27/17","Vremya pokazhet @Pervyi kanal, 1:15:54","Russian","Europe, Ukraine, EU, Germany","Pavel Spirin, former journalist","EU, Russophobia, The West, Nazi/Fascist","https://www.youtube.com/watch?v=_iSWo6oiJJ8","Nazism is now being implemented in Ukraine","Nazism was a project that was implemented in Germany by the Europeans and there is now a European project being implemented in Ukraine. Three foreign ministers including Germany's, who brought the Nazis to power with their own hands. Today, Russophobia is the basic project of the West. We can take offence at the law on education recently adopted by Ukraine, but the West is supporting the apartheid regime now in two members of the European Union.","There is no apartheid or Nazi regime neither in the EU nor in Ukraine. There are no Nazis in the government nor in the parliament of Ukraine. Even the far-right ‘Right Sector’ (often depicted as ""fascists"" or ""Nazis"" by pro-Kremlin outlets) gained only 1.8% of the votes, far short of the threshold needed to enter the parliament. Ukraine's electorate clearly voted for unity and moderation, not extremism or Nazism, and the composition of the parliament reflects that http://bit.ly/2dFFEdi 
Criticism of Russian government's policy is not ""Russophobia"". There is in fact a clear record of strong cooperation between the EU and Russia, dating back to 1994, when the two sides negotiated a Partnership and Cooperation Agreement. Russia was identified as a strategic partner for the EU, and was the only country with which the EU held summits not once, but twice a year. 
In 2010 the EU and Russia launched a Partnership for Modernisation. As stated in the Joint Declaration: ""The European Union and Russia, as long-standing strategic partners in a changing multipolar world, are committed to working together to address common challenges with a balanced and result-oriented approach, based on democracy and the rule of law, both at the national and international level"" http://bit.ly/1p648gA.
Despite current difficulties in the relationship with Russia, the EU and its Member States have maintained a clear policy of reaching out to Russian society and youth, mainly through the Erasmus+ student exchange programme and other people to people contacts.","",""
"82","09/26/17","60 minut @Rossiya 1","Russian","Russia, Ukraine","East Stratcom Network","Genocide","https://russia.tv/video/show/brand_id/60851/episode_id/1548844/video_id/1680828/","The new Ukrainian law on education is equivalent to a genocide of Russians","The new Ukrainian law on education is equivalent to a genocide of Russians.","There is no genocide of Russians in Ukraine. The word genocide is frequently used in pro-Kremlin disinformation https://euvsdisinfo.eu/disinformation-cases/?text=genocide&disinfo_issue=&disinfo_language%5B%5D=rus&date=, but it seldom corresponds to the actual definition of a genocide http://www.un.org/en/genocideprevention/genocide.html","",""
"82","09/26/17","Vremya pokazhet @Pervyi kanal, 8:34","Russian","US","Pavel Spirin, former jornalist","Hillary Clinton, Barack Obama, Daesh","https://youtu.be/Evv-nNmBrSM?t=513","Documents show that Daesh was created by former US President Barack Obama and presidential candidate Hillary Clinton","Daesh was created by Obama and Clinton. The documents supporting the claim can be found.","No evidence given, conspiracy theory. Further debunking: http://www.politifact.com/truth-o-meter/statements/2016/aug/11/donald-trump/donald-trump-pants-fire-claim-obama-founded-isis-c/","",""
"82","09/26/17","Mid.ru","Russian","Russia, Georgia","SOVA News, https://sova.news/2017/09/27/23926/","NATO","http://www.mid.ru/en/foreign_policy/news/-/asset_publisher/cKNonkJE02Bw/content/id/2874997","NATO activities in Georgia pose a serious threat of destabilization in the South Caucasus and to the security of the Russian Federation","NATO’s increasingly active role in the region is dangerous. The Alliance’s military infrastructure is expanding in Georgia, military exercises are held regularly, with their scale increasing every year, and NATO standards for the armed forces and their management are being introduced, which poses a serious threat of destabilization in the South Caucasus and to the security of the Russian Federation, the Republic of Abkhazia and the Republic of South Ossetia.","No evidence given. For a comparison between NATO activities in Georgia and Russian activities in Georgia, see SOVA News timeline https://sova.news/2017/09/27/23926/. 
Georgia aspires to join NATO. The country actively contributes to NATO-led operations and cooperates with the Allies and other partner countries in many other areas. Support for Georgia’s reform efforts and its goal of integration in Euro-Atlantic institutions is a priority for NATO-Georgia cooperation. http://www.nato.int/cps/en/natohq/topics_38988.htm","",""
"82","09/26/17","Vremya pokazhet @Pervyi kanal, 44:33","Russian","Russia, US, Syria","Pavel Spirin, former journalist","Syrian War, Terrorism, Daesh","https://youtu.be/Evv-nNmBrSM?t=2671","Washington supports terrorists in Syria and therefore is an enemy of Moscow","For Russia, the US is not an assistant in the fight against terrorism but a bloody enemy if it supports terrorists in Syria.","Since September, 2014, the US has been heading the Global coalition fighting Daesh, so it cannot be an “enemy” of Russia in the struggle against terrorism. http://theglobalcoalition.org/en/home/","",""
"82","09/25/17","Vremya pokazhet @Pervyi kanal, 6:55","Russian","Russia, US, Germany, Syria","Pavel Spirin, former journalist","AfD, Stepan Bandera, Migration crisis, Nazi/Fascist","https://youtu.be/6h-E3O9YTv4?t=415","Germany supported the American project of establishing a fascist regime in Ukraine","The German leaders and political structures started supporting the US project called Ukraine, deployed a practically fascist regime there, the regime of Bandera, a nationalist regime.","No evidence given, recurring disinformation and conspiracy theory. The US has never had any project for the establishing a ""fascist regime"" in Ukraine.","",""
"82","09/25/17","Vremya pokazhet @Pervyi kanal, 7:35","Russian","Russia, Germany","Pavel Spirin, former journalist","AfD","https://youtu.be/6h-E3O9YTv4?t=455","Russia never met with the AfD","Russia never got close to, not talked to representatives of the AfD.","In February 2017, Frauke Petry, the leader of Germany’s far-right party AfD, held talks with Russian officials and politicians during her visit to Moscow, including with Vyacheslav Volodin, speaker of the Duma lower house, his deputy Pyotr Tolstoy and Vladimir Zhirinovsky, the leader of the pro-Kremlin Liberal Democratic Party of Russia, and others. http://www.dw.com/en/head-of-the-afd-frauke-petry-meets-with-russian-officials-in-moscow/a-37643188 
Earlier, in April 2016, Marcus Pretzell, member of the European Parliament from AfD and husband of Frauke Petry, travelled to Crimea annexed by Russia.
https://www.merkur.de/politik/marcus-pretzell-von-afd-liess-sich-krimreise-von-russischer-stiftung-bezahlen-zr-7313209.html
http://www.handelsblatt.com/politik/deutschland/marcus-pretzell-russische-stiftung-bezahlte-fuer-afd-politiker-krimreise/19288206.html","",""
"82","09/25/17","Komsomolskaya Pravda","Russian","Hungary, Russia, Estonia, Finland","East Stratcom Network","Destabilising Russia","https://www.kp.ru/daily/26735/3763162/","Finland, Estonia and Hungary are pushing Russia's Finno-Ugric peoples to separate from Russia","Finland, Estonia and Hungary are pushing Russia's Finno-Ugric peoples to political independence and, ideally, to separate from Russia. The countries are influencing cultural and scientific elites of Russia's Finno-Ugric republics, using missionaries' work, and inviting people to study abroad.","Recurring disinformation, no evidence given. The described activities are part of cultural and people-to-people cooperation that has nothing to do with separatism.","",""
"82","09/25/17","Aeronet.cz","Czech","Germany","European Values","SPD, Elections, Angela Merkel","https://aeronet.cz/news/panika-v-nemecku-a-v-dome-rothschild-mandat-merkelove-po-volbach-je-prilis-slaby-mame-obavy-z-nedobreho-vyvoje-v-nemecku-projekt-nove-evropy-se-zkomplikuje-panika-propukla-i-v-cesku/","The German parties FDP and the Greens have strongly euro-sceptic policies, Merkel won't cooperate with them","FDP and the Greens have strongly euro-sceptic policies and Merkel will thus continue to cooperate with SPD (albeit in opposition) on creating ""the New Europe"".","The German parties FDP and the Greens do not have Eurosceptic programs.
See: http://www.politico.eu/article/germany-parties-plan-for-eu-in-election-campaign/, https://www.gruene.de/programm-2017/a-bis-z/wir-kaempfen-um-europas-zusammenhalt.html, https://www.fdp.de/thema/europa.","",""
"82","09/25/17","Aeronet.cz","Czech","EU","European Values","EU, Refugees, Migration crisis","https://aeronet.cz/news/panika-v-nemecku-a-v-dome-rothschild-mandat-merkelove-po-volbach-je-prilis-slaby-mame-obavy-z-nedobreho-vyvoje-v-nemecku-projekt-nove-evropy-se-zkomplikuje-panika-propukla-i-v-cesku/","Migrants granted refugee status will be free to move within Schengen","Migrants granted refugee status will be free to move across and within the Schengen area.","Free movement is granted to EU citizens only. According to 2016 EU regulation, asylum seekers shall have their application rejected if they move to another country.
See: https://www.euractiv.com/section/global-europe/news/under-new-eu-rules-refugees-face-asylum-rejection-if-they-leave-country-of-arrival/","",""
"82","09/25/17","Aeronet.cz","Czech","Germany","European Values","Refugees, Migration crisis","https://aeronet.cz/news/panika-v-nemecku-a-v-dome-rothschild-mandat-merkelove-po-volbach-je-prilis-slaby-mame-obavy-z-nedobreho-vyvoje-v-nemecku-projekt-nove-evropy-se-zkomplikuje-panika-propukla-i-v-cesku/","The monthly support to a 4 member refugee family in Germany is 5000 euro a month","The monthly support for a  4 member refugee family in Germany amounts to 5000 euro a month.","Recurring disinformation about allowances for refugees in Germany https://euvsdisinfo.eu/report/a-syrian-refugee-with-four-wifes-and-23-children-earns-2/. The real cost is difficult to count as the money is distributed by German federal states. The Federal Government pays the states a lump sum of 670 euro per refugee a month (that is 2680 for four). See: http://www.dw.com/en/the-complex-costs-of-integrating-refugees-in-germany/a-18818095","",""
"81","09/25/17","Ren-TV","Russian","Russia, Ukraine","Promote Ukraine NGO","Human rights, UN, Crimea","http://ren.tv/novosti/2017-09-25/v-krymu-doklad-oon-o-pravah-cheloveka-nazvali-filkinoy-gramotoy","UN report on Crimea is based on lies","The UN report on the situation regarding human rights in Crimea which criticises Russia is based on lies. The UN experts haven't even been there, they received all the information from Ukraine.","As stated in the report, the UN experts have collected information in Crimea which is, according to the international law, part of Ukraine. ""Since then, HRMMU [Human Rights Monitoring Mission in Ukraine] has been
collecting and analysing information on the human rights situation throughout Ukraine,
including in the Autonomous Republic of Crimea and the city of Sevastopol"" - the report says. 
HRMMU has not been provided access to Crimea by Russian Federation authorities since its former Head of Mission accompanied the former Assistant Secretary-General for Human Rights, Ivan Šimonović, on 21-22 March 2014. 
HRMMU has monitored the human rights situation in the peninsula from its presence in mainland Ukraine. HRMMU systematically collects and analyzes information gathered through direct interviews and fact-finding missions, including at the Administrative Boundary Line (ABL) between mainland Ukraine and Crimea. The report only describes allegations of human rights violations and abuses and violations of international humanitarian law that OHCHR could verify and corroborate in accordance with its methodology. OHCHR is committed to the protection of its sources and systematically assesses the potential risks of harm and retaliation against them. http://www.ohchr.org/Documents/Countries/UA/Crimea2014_2017_EN.pdf","",""
"82","09/25/17","Vremya pokazhet @Pervyi kanal, 6:55","Russian","Russia, US, Germany, Syria","Pavel Spirin, former journalist","AfD, Stepan Bandera, Migration crisis, Nazi/Fascist","https://youtu.be/6h-E3O9YTv4?t=415","Germany supported the American project of establishing a fascist regime in Ukraine","The German leaders and political structures started supporting the US project called Ukraine, deployed a practically fascist regime there, the regime of Bandera, a nationalist regime.","No evidence given, recurring disinformation and conspiracy theory. The US has never had any project for the establishing a ""fascist regime"" in Ukraine.","",""
"82","09/25/17","Vremya pokazhet @Pervyi kanal, 7:35","Russian","Russia, Germany","Pavel Spirin, former journalist","AfD","https://youtu.be/6h-E3O9YTv4?t=455","Russia never met with the AfD","Russia never got close to, not talked to representatives of the AfD.","In February 2017, Frauke Petry, the leader of Germany’s far-right party AfD, held talks with Russian officials and politicians during her visit to Moscow, including with Vyacheslav Volodin, speaker of the Duma lower house, his deputy Pyotr Tolstoy and Vladimir Zhirinovsky, the leader of the pro-Kremlin Liberal Democratic Party of Russia, and others. http://www.dw.com/en/head-of-the-afd-frauke-petry-meets-with-russian-officials-in-moscow/a-37643188 
Earlier, in April 2016, Marcus Pretzell, member of the European Parliament from AfD and husband of Frauke Petry, travelled to Crimea annexed by Russia.
https://www.merkur.de/politik/marcus-pretzell-von-afd-liess-sich-krimreise-von-russischer-stiftung-bezahlen-zr-7313209.html
http://www.handelsblatt.com/politik/deutschland/marcus-pretzell-russische-stiftung-bezahlte-fuer-afd-politiker-krimreise/19288206.html","",""
"82","09/25/17","Komsomolskaya Pravda","Russian","Hungary, Russia, Estonia, Finland","East Stratcom Network","Destabilising Russia","https://www.kp.ru/daily/26735/3763162/","Finland, Estonia and Hungary are pushing Russia's Finno-Ugric peoples to separate from Russia","Finland, Estonia and Hungary are pushing Russia's Finno-Ugric peoples to political independence and, ideally, to separate from Russia. The countries are influencing cultural and scientific elites of Russia's Finno-Ugric republics, using missionaries' work, and inviting people to study abroad.","Recurring disinformation, no evidence given. The described activities are part of cultural and people-to-people cooperation that has nothing to do with separatism.","",""
"82","09/25/17","Vremya pokazhet @Pervyi kanal, 29:08","Russian","Russia, Ukraine, US","Pavel Spirin, former journalist","Secret services, Euromaidan","https://youtu.be/6h-E3O9YTv4?t=1746","In 2014, Maidan in Kyiv started after American diplomats with military ranks conducted some meetings in Ukraine","It was the US diplomats, who had military ranks, that initiated the Maidan protests in Kyiv.","Conspiracy theory, no evidence given. The demonstrations which began in Kyiv in November 2013 – called ""Maidan"", or ""Euromaidan"" – were not provoked from outside but were a result of the Ukrainian people's frustration with former President Yanukovych's last minute U-turn when, after seven years of negotiation, he refused to sign the EU–Ukraine Association Agreement and halted progress towards Ukraine's closer relationship with the EU as a result of Russian pressure. The protesters' demands included constitutional reform, a stronger role for parliament, formation of a government of national unity, an end to corruption, early presidential elections and an end to violence  http://bit.ly/2ftv6iT.","",""
"82","09/24/17","Voskresnyi vecher s Vladimirom Solovyovym @Rossia-1, 9:03","Russian","Russia","Pavel Spirin, former journalist","Terrorism","https://www.youtube.com/watch?v=IFEuJgB6yiA","Russia is the only country that fights terrorism","Russia is now the only country in the world that is fighting the main evil of our time - terrorism.","Russia is not the only country fighting terrorism. There are for example 73 members in the Global coalition against Daesh. http://theglobalcoalition.org/en/partners/","",""
"82","09/24/17","Voskresnyi vecher s Vladimirom Solovyovym @Rossia-1, 1:26:40","Russian","Ukraine","Pavel Spirin, former jornalist","War in Ukraine, Crimea, Daesh","https://youtu.be/IFEuJgB6yiA?t=5199","Ukraine has provided weapons and the use of resorts in Crimea to Daesh battalions","Battalions of the Islamic state have been resting at resorts provided by the Ukrainian state on the territory of Crimea before Crimea was returned to the homeland. Ukraine was also selling weapons to the Islamic state.","No evidence given, recurring disinformation. Further debunk on previous false claims on Ukraine's support to Daesh: https://www.stopfake.org/en/fake-isis-training-camps-in-southern-ukraine/
Crimea did not ""return to the homeland"", it was illegally annexed by Russia. UNGA Resolution 68/262, which condemned Russia's illegal actions in Ukraine, was supported by 100 United Nations member states. Only 11 states opposed it. https://www.un.org/apps/news/story.asp?NewsID=47443&Cr=ukraine&Cr1=#.WdOcfWcdiEB","",""
"81","09/22/17","Sputnik","English","Russia, Ukraine","The Insider","UN, War in Ukraine, Donbas, Minsk agreements","https://sputniknews.com/europe/201709221057609350-un-peacekeepers-border-russia-ukraine/","Deployment of any missions at the Russia-Ukrainian border will contradict the Minsk Agreements","The issue of deploying a UN peacekeeping mission at the Russian-Ukrainian border in Donbas is off the table as it would be contradicting the Minsk agreements on the ceasefire in the eastern Ukrainian region.","The Package of Measures for the Implementation of the Minsk Agreements do not mention peacekeeping missions. http://www.osce.org/ru/cio/140221?download=true 
Instead, they do state that full Ukrainian government control has be restored over the state border, throughout the conflict zone. In addition, all foreign armed groups, weapons and mercenaries have to be withdrawn from Ukrainian territory under the OSCE monitoring. 
Further debunk: http://theins.ru/antifake/71968","",""
"81","09/21/17","Sputnik","Spain","Spain","Beatriz Marin Garcia","Catalonia, Referendum, Sputnik","https://mundo.sputniknews.com/espana/201709211072539400-independentismo-mallorca-consecuencias/","Also the Balearic Islands in Spain calls for independence","Not only Catalonia wants to vote on independence. In the Balearic Islands the political coalition MÉS per Mallorca calls for a referendum on the sovereignty of the island in 2030.","Misleading. Mallorca is not about to vote for its independence soon. The article cites a document written by only one party, MÉS per Mallorca, in the Government. The vote of the Mallorca Republic is just a political intention and a manifesto written by one minority nationalist party.","name_description, name_twitter:title, name_keywords, h3_1, h5_1, title_1","No solo Cataluña quiere votar sobre la independencia. En las islas Baleares la coalición política MÉS per Mallorca aboga por convocar un referéndum por la soberanía de la isla en 2030. Sputnik habló con Armando Fernández Steinko, profesor de sociología en la Universidad Complutense de Madrid, y con David Abril, portavoz de MÉS per Mallorca. El independentismo: una bomba de relojería contagiosa en un Estado que no escucha referéndum, independencia, Convergència i Unió (CiU), Cataluña, España Todos los comentarios en respuesta a(Mostrar comentarioOcultar comentario) El independentismo: una bomba de relojería contagiosa en un Estado que no escucha - Sputnik Mundo"
"81","09/21/17","Lenta.ru","Russian","Russia","Stopfake","Crimea","https://lenta.ru/news/2017/09/21/chongar/","A Ukrainian watchtower on the border to Crimea is broadcasting Russian radio to Ukraine","The tower, built in the Kherson region - which was supposed to broadcast Ukrainian radio and television programs to the Crimea - broadcasts instead of this Russian radio to Ukraine.","In fact, the broadcast from the watchtower in question does have content in Russian, but it is prepared in Ukraine to reach Crimea. It is Ukrainian content broadcast in Russian language.","",""
"81","09/21/17","Vremya pokazhet @Rossiya 1, 37:13","Russian","Russia","East Stratcom Network","Military","https://www.1tv.ru/shows/vremya-pokazhet/vypuski/ohota-na-rossiyu-vremya-pokazhet-vypusk-ot-21-09-2017","Russia is under unprecedented military pressure","Russia is under pressure, including military pressure, that is unprecedented in the last 500 years.","No objective figures would suggest that the current military pressure on Russia is on a par with or larger than e.g. during the WW2 or during the Cold War.	Russia's military exercises in recent years have been far bigger than those of NATO: http://bit.ly/29kpLYm. Moreover, significant NATO exercises are subject to notification or open to observers http://bit.ly/2dQA71d.","",""
"81","09/21/17","Vremya pokazhet @Channel One, 33:15","Russian","Russia","East Stratcom Network","Encircling Russia, NATO, The West","https://www.1tv.ru/shows/vremya-pokazhet/vypuski/ohota-na-rossiyu-vremya-pokazhet-vypusk-ot-21-09-2017","The West is preparing to attack Russia","The West is preparing to attack Russia. We do not know what form this attack will take.  NATO is squeezing Russia from all sides.","No evidence given. This claim ignores the facts of geography. Russia's land border is just over 20,000 kilometres long. Of that, 1,215 kilometres, or less than one-sixteenth, face current NATO members. http://bit.ly/2sX0IFD","name_description, name_keywords, h1_1, h2_1, h3_1, h4_1","Эксперты и политологи обсуждают антироссийские настроения на Западе и пытаются разобраться в их причинах. Время покажет,Екатерина Стриженова,Артем Шейнин,Политика Время покажет16+ Охота на Россию. Время покажет. Выпуск от 21.09.2017 Код для встраивания видео Настройки"
